url,city,family_edition,value,you_save,discount_pct,num_sold,sold_out,started_at,weekday_start,duration,category,likes
http://livingsocial.com/deals/26814-five-yoga-classes,Atlanta,0,90,65,72,275,0,5/19/2011,Thu,1,Services,7
http://livingsocial.com/deals/33862-nascar-package,Atlanta,0,364,182,50,491,0,5/20/2011,Fri,3,Entertainment,37
http://livingsocial.com/deals/25633-35-to-spend-on-food-and-drink-for-two-or-more,Atlanta,0,35,18,51,380,0,5/21/2011,Sat,2,Restaurant,9
http://escapes.livingsocial.com/deals/34360-45-minute-or-hour-long-deep-tissue-massage,Atlanta,0,60,30,50,631,0,5/22/2011,Sun,2,Beauty,16
http://escapes.livingsocial.com/deals/41111-two-weeks-of-unlimited-kickboxing-classes,Atlanta,0,45,35,78,554,0,5/23/2011,Mon,1,Health,19
http://livingsocial.com/deals/41450-two-weeks-of-half-day-or-full-day-summer-camp,Atlanta,1,175,100,57,54,0,5/23/2011,Mon,7,Entertainment,8
http://livingsocial.com/deals/49159-personalized-canvas-print,Atlanta,0,56,28,50,1187,0,5/24/2011,Tue,1,Services,42
http://livingsocial.com/deals/31785-three-hours-of-house-cleaning,Atlanta,0,100,50,50,253,0,5/25/2011,Wed,2,Services,10
http://livingsocial.com/deals/43627-family-pass-and-10-to-spend-at-the-gift-shop,Atlanta,1,20,10,50,198,0,5/26/2011,Thu,7,Entertainment,17
http://livingsocial.com/deals/39650-wine-tasting-for-two,Atlanta,0,60,30,50,328,0,5/26/2011,Thu,1,Entertainment,13
http://livingsocial.com/deals/37808-cut-+-blow-dry-50-to-spend-or-keratin-treatment,Atlanta,0,250,125,50,94,0,5/27/2011,Fri,3,Beauty,4
http://livingsocial.com/deals/28612-indoor-or-outdoor-paintball-package,Atlanta,0,40,21,53,475,0,5/28/2011,Sat,2,Entertainment,28
http://livingsocial.com/deals/33875-two-cupcakes,Atlanta,0,6,3,50,280,0,5/29/2011,Sun,2,Specialty Food,11
http://livingsocial.com/deals/44897-women-s-self-defense-course,Atlanta,1,35,20,57,288,0,5/30/2011,Mon,7,Entertainment,25
http://livingsocial.com/deals/25497-25-worth-of-brunch-or-one-year-dinner-membership,Atlanta,0,25,13,52,178,0,5/30/2011,Mon,2,Restaurant,5
http://livingsocial.com/deals/47027-100-to-spend-on-healthy-pre-made-meals,Atlanta,0,100,50,50,152,0,5/31/2011,Tue,2,Services,8
http://livingsocial.com/deals/41013-teeth-whitening-or-430-of-dental-services,Atlanta,0,430,341,79,128,0,6/1/2011,Wed,1,Health,7
http://livingsocial.com/deals/45800-akumal-mexico-adventure-for-4,Atlanta,0,808,438,54,146,0,6/1/2011,Wed,7,Escapes,262
http://livingsocial.com/deals/49210-day-of-river-tubing-and-catered-bbq,Atlanta,0,60,38,63,502,0,6/2/2011,Thu,4,Entertainment,125
http://livingsocial.com/deals/30852-photo-package,Atlanta,1,410,335,82,67,0,6/2/2011,Thu,7,Services,5
http://livingsocial.com/deals/56661-80-to-spend-on-swimwear,Atlanta,0,80,40,50,615,0,6/3/2011,Fri,3,Retail,29
http://livingsocial.com/deals/28222-four-class-10-or-eight-class-20-punch-card,Atlanta,0,60,50,83,337,0,6/4/2011,Sat,2,Health,8
http://livingsocial.com/deals/42959-hour-long-massage-+-consultation,Atlanta,0,165,136,82,788,0,6/5/2011,Sun,2,Beauty,24
http://escapes.livingsocial.com/deals/52585-50-to-spend-on-clothing-and-accessories,Atlanta,0,50,25,50,20,0,6/6/2011,Mon,1,Retail,3
http://livingsocial.com/deals/42881-day-of-horseback-riding-games-crafts-and-lunch,Atlanta,1,130,65,50,18,0,6/6/2011,Mon,7,Entertainment,6
http://livingsocial.com/deals/33791-25-to-spend-on-food-and-drink,Atlanta,0,25,15,60,2248,0,6/7/2011,Tue,2,Restaurant,27
http://livingsocial.com/deals/57867-50-to-spend-on-office-supplies-and-business-cards,Atlanta,0,50,40,80,4973,0,6/8/2011,Wed,1,Retail,131
http://livingsocial.com/deals/48675-two-group-lessons-or-weeklong-kids-tennis-camp,Atlanta,1,40,20,50,49,0,6/9/2011,Thu,7,Health,2
http://livingsocial.com/deals/34484-10-or-20-to-spend-on-ice-cream-treats,Atlanta,0,10,5,50,405,0,6/9/2011,Thu,1,Specialty Food,11
http://livingsocial.com/deals/36182-carpet-cleaning-for-four-areas,Atlanta,0,180,111,62,232,0,6/10/2011,Fri,3,Services,7
http://livingsocial.com/deals/41835-cut-+-style-extensions-or-100-of-salon-services,Atlanta,0,85,50,59,93,0,6/11/2011,Sat,2,Beauty,5
http://livingsocial.com/deals/34422-15-to-spend-on-food-and-drink,Atlanta,0,15,8,53,189,0,6/12/2011,Sun,2,Restaurant,2
http://livingsocial.com/deals/34381-bounce-admission-5-or-birthday-party-59,Atlanta,1,11,6,55,402,0,6/13/2011,Mon,7,Entertainment,6
http://livingsocial.com/deals/49659-35-to-spend-on-home-improvement-products,Atlanta,0,35,20,57,651,0,6/14/2011,Tue,2,Retail,10
http://livingsocial.com/deals/42171-15-or-35-to-spend-on-japanese-cuisine,Atlanta,0,35,18,51,173,0,6/15/2011,Wed,1,Restaurant,6
http://livingsocial.com/deals/45649-25-of-paint-your-own-pottery-or-birthday-party,Atlanta,1,25,13,52,93,0,6/16/2011,Thu,7,Entertainment,0
http://livingsocial.com/deals/44402-two-personal-training-sessions-+-massage,Atlanta,0,170,100,59,42,0,6/16/2011,Thu,1,Health,3
http://livingsocial.com/deals/55439-18-holes-of-golf-cart-balls-and-10-toward-food,Atlanta,0,111,72,65,1308,0,6/17/2011,Fri,3,Entertainment,18
http://livingsocial.com/deals/33753-microdermabrasion-and-mini-facial-with-cocktail,Atlanta,0,80,40,50,92,0,6/18/2011,Sat,2,Beauty,4
http://livingsocial.com/deals/43226-two-hour-wine-class-for-two,Atlanta,0,70,35,50,402,0,6/19/2011,Sun,2,Entertainment,12
http://livingsocial.com/deals/34374-tutoring-sessions,Atlanta,1,359,254,71,52,0,6/20/2011,Mon,7,Entertainment,5
http://livingsocial.com/deals/31201-35-to-spend-on-food-and-drink,Atlanta,0,35,20,57,838,0,6/20/2011,Mon,1,Restaurant,11
http://escapes.livingsocial.com/deals/65205-40-to-spend-on-beauty-products,Atlanta,0,40,20,50,79,0,6/21/2011,Tue,1,Retail,6
http://escapes.livingsocial.com/deals/37665-house-cleaning-for-two-three-or-four-hours,Atlanta,0,85,46,54,573,0,6/22/2011,Wed,2,Services,12
http://escapes.livingsocial.com/deals/41729-20-to-spend-on-food-and-drink,Atlanta,0,20,10,50,1198,0,6/23/2011,Thu,1,Restaurant,16
http://livingsocial.com/deals/49969-hour-long-basic-science-birthday-party,Atlanta,1,244,124,51,95,0,6/23/2011,Thu,7,Services,22
http://escapes.livingsocial.com/deals/52707-dental-cleaning-+-exam-+-x-rays,Atlanta,0,643,564,88,558,0,6/24/2011,Fri,3,Health,21
http://escapes.livingsocial.com/deals/63119-three-full-service-oil-changes-at-nine-locations,Atlanta,0,99,66,67,617,0,6/25/2011,Sat,2,Services,24
